ticker,company_name,cik,form_type,filing_date,period_end,accession_number,filing_url
AAPL,Apple Inc.,0000320193,10-K,2023-11-03,2023-09-30,0000320193-23-000106,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm
AAPL,Apple Inc.,0000320193,10-Q,2023-08-04,2023-07-01,0000320193-23-000077,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/aapl-20230701.htm
AAPL,Apple Inc.,0000320193,10-Q,2023-05-05,2023-04-01,0000320193-23-000064,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/aapl-20230401.htm
AAPL,Apple Inc.,0000320193,10-Q,2023-02-03,2022-12-31,0000320193-23-000006,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/aapl-20221231.htm
AAPL,Apple Inc.,0000320193,10-K,2022-10-28,2022-09-24,0000320193-22-000108,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm
AAPL,Apple Inc.,0000320193,10-Q,2022-07-29,2022-06-25,0000320193-22-000070,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/aapl-20220625.htm
AAPL,Apple Inc.,0000320193,10-Q,2022-04-29,2022-03-26,0000320193-22-000059,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/aapl-20220326.htm
AAPL,Apple Inc.,0000320193,10-Q,2022-01-28,2021-12-25,0000320193-22-000007,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/aapl-20211225.htm
AAPL,Apple Inc.,0000320193,10-K,2021-10-29,2021-09-25,0000320193-21-000105,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm
AAPL,Apple Inc.,0000320193,10-Q,2021-07-28,2021-06-26,0000320193-21-000065,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/aapl-20210626.htm
AAPL,Apple Inc.,0000320193,10-Q,2021-04-29,2021-03-27,0000320193-21-000056,https://www.sec.gov/Archives/edgar/data/320193/000032019321000056/aapl-20210327.htm
AAPL,Apple Inc.,0000320193,10-Q,2021-01-28,2020-12-26,0000320193-21-000010,https://www.sec.gov/Archives/edgar/data/320193/000032019321000010/aapl-20201226.htm
AAPL,Apple Inc.,0000320193,10-K,2020-10-30,2020-09-26,0000320193-20-000096,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm
AAPL,Apple Inc.,0000320193,10-Q,2020-07-31,2020-06-27,0000320193-20-000062,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/aapl-20200627.htm
AAPL,Apple Inc.,0000320193,10-Q,2020-05-01,2020-03-28,0000320193-20-000052,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/a10-qq220203282020.htm
AAPL,Apple Inc.,0000320193,10-Q,2020-01-29,2019-12-28,0000320193-20-000010,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/a10-qq1202012282019.htm
AAPL,Apple Inc.,0000320193,10-K,2019-10-31,2019-09-28,0000320193-19-000119,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm
AAPL,Apple Inc.,0000320193,10-Q,2019-07-31,2019-06-29,0000320193-19-000076,https://www.sec.gov/Archives/edgar/data/320193/000032019319000076/a10-qq320196292019.htm
AAPL,Apple Inc.,0000320193,10-Q,2019-05-01,2019-03-30,0000320193-19-000066,https://www.sec.gov/Archives/edgar/data/320193/000032019319000066/a10-qq220193302019.htm
AAPL,Apple Inc.,0000320193,10-Q,2019-01-30,2018-12-29,0000320193-19-000010,https://www.sec.gov/Archives/edgar/data/320193/000032019319000010/a10-qq1201912292018.htm
AAPL,Apple Inc.,0000320193,10-K,2018-11-05,2018-09-29,0000320193-18-000145,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm
AAPL,Apple Inc.,0000320193,10-Q,2018-08-01,2018-06-30,0000320193-18-000100,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/a10-qq320186302018.htm
AAPL,Apple Inc.,0000320193,10-Q,2018-05-02,2018-03-31,0000320193-18-000070,https://www.sec.gov/Archives/edgar/data/320193/000032019318000070/a10-qq220183312018.htm
AAPL,Apple Inc.,0000320193,10-Q,2018-02-02,2017-12-30,0000320193-18-000007,https://www.sec.gov/Archives/edgar/data/320193/000032019318000007/a10-qq1201812302017.htm
AAPL,Apple Inc.,0000320193,10-K,2017-11-03,2017-09-30,0000320193-17-000070,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm
AAPL,Apple Inc.,0000320193,10-Q,2017-08-02,2017-07-01,0000320193-17-000009,https://www.sec.gov/Archives/edgar/data/320193/000032019317000009/a10-qq32017712017.htm
AAPL,Apple Inc.,0000320193,10-Q,2017-05-03,2017-04-01,0001628280-17-004790,https://www.sec.gov/Archives/edgar/data/320193/000162828017004790/a10-qq22017412017.htm
AAPL,Apple Inc.,0000320193,10-Q,2017-02-01,2016-12-31,0001628280-17-000717,https://www.sec.gov/Archives/edgar/data/320193/000162828017000717/a10-qq1201712312016.htm
AAPL,Apple Inc.,0000320193,10-K,2016-10-26,2016-09-24,0001628280-16-020309,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm
AAPL,Apple Inc.,0000320193,10-Q,2016-07-27,2016-06-25,0001628280-16-017809,https://www.sec.gov/Archives/edgar/data/320193/000162828016017809/a10-qq320166252016.htm
AAPL,Apple Inc.,0000320193,10-Q,2016-04-27,2016-03-26,0001193125-16-559625,https://www.sec.gov/Archives/edgar/data/320193/000119312516559625/d165350d10q.htm
AAPL,Apple Inc.,0000320193,10-Q,2016-01-27,2015-12-26,0001193125-16-439878,https://www.sec.gov/Archives/edgar/data/320193/000119312516439878/d66145d10q.htm
AAPL,Apple Inc.,0000320193,10-K,2015-10-28,2015-09-26,0001193125-15-356351,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm
AAPL,Apple Inc.,0000320193,10-Q,2015-07-22,2015-06-27,0001193125-15-259935,https://www.sec.gov/Archives/edgar/data/320193/000119312515259935/d927922d10q.htm
AAPL,Apple Inc.,0000320193,10-Q,2015-04-28,2015-03-28,0001193125-15-153166,https://www.sec.gov/Archives/edgar/data/320193/000119312515153166/d892246d10q.htm
MSFT,Microsoft Corp.,0000789019,10-Q,2024-01-30,2023-12-31,0000950170-24-008814,https://www.sec.gov/Archives/edgar/data/789019/000095017024008814/msft-20231231.htm
MSFT,Microsoft Corp.,0000789019,10-Q,2023-10-24,2023-09-30,0000950170-23-054855,https://www.sec.gov/Archives/edgar/data/789019/000095017023054855/msft-20230930.htm
MSFT,Microsoft Corp.,0000789019,10-K,2023-07-27,2023-06-30,0000950170-23-035122,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm
MSFT,Microsoft Corp.,0000789019,10-Q,2023-04-25,2023-03-31,0000950170-23-014423,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/msft-20230331.htm
MSFT,Microsoft Corp.,0000789019,10-Q,2023-01-24,2022-12-31,0001564590-23-000733,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/msft-10q_20221231.htm
MSFT,Microsoft Corp.,0000789019,10-Q,2022-10-25,2022-09-30,0001564590-22-035087,https://www.sec.gov/Archives/edgar/data/789019/000156459022035087/msft-10q_20220930.htm
MSFT,Microsoft Corp.,0000789019,10-K,2022-07-28,2022-06-30,0001564590-22-026876,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm
MSFT,Microsoft Corp.,0000789019,10-Q,2022-04-26,2022-03-31,0001564590-22-015675,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/msft-10q_20220331.htm
MSFT,Microsoft Corp.,0000789019,10-Q,2022-01-25,2021-12-31,0001564590-22-002324,https://www.sec.gov/Archives/edgar/data/789019/000156459022002324/msft-10q_20211231.htm
MSFT,Microsoft Corp.,0000789019,10-Q,2021-10-26,2021-09-30,0001564590-21-051992,https://www.sec.gov/Archives/edgar/data/789019/000156459021051992/msft-10q_20210930.htm
MSFT,Microsoft Corp.,0000789019,10-K,2021-07-29,2021-06-30,0001564590-21-039151,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm
MSFT,Microsoft Corp.,0000789019,10-Q,2021-04-27,2021-03-31,0001564590-21-020891,https://www.sec.gov/Archives/edgar/data/789019/000156459021020891/msft-10q_20210331.htm
MSFT,Microsoft Corp.,0000789019,10-Q,2021-01-26,2020-12-31,0001564590-21-002316,https://www.sec.gov/Archives/edgar/data/789019/000156459021002316/msft-10q_20201231.htm
MSFT,Microsoft Corp.,0000789019,10-Q,2020-10-27,2020-09-30,0001564590-20-047996,https://www.sec.gov/Archives/edgar/data/789019/000156459020047996/msft-10q_20200930.htm
MSFT,Microsoft Corp.,0000789019,10-K,2020-07-30,2020-06-30,0001564590-20-034944,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm
MSFT,Microsoft Corp.,0000789019,10-Q,2020-04-29,2020-03-31,0001564590-20-019706,https://www.sec.gov/Archives/edgar/data/789019/000156459020019706/msft-10q_20200331.htm
MSFT,Microsoft Corp.,0000789019,10-Q,2020-01-29,2019-12-31,0001564590-20-002450,https://www.sec.gov/Archives/edgar/data/789019/000156459020002450/msft-10q_20191231.htm
NVDA,NVIDIA Corp.,0001045810,10-Q,2023-11-21,2023-10-29,0001045810-23-000227,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/nvda-20231029.htm
NVDA,NVIDIA Corp.,0001045810,10-Q,2023-08-28,2023-07-30,0001045810-23-000175,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/nvda-20230730.htm
NVDA,NVIDIA Corp.,0001045810,10-Q,2023-05-26,2023-04-30,0001045810-23-000093,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/nvda-20230430.htm
NVDA,NVIDIA Corp.,0001045810,10-K,2023-02-24,2023-01-29,0001045810-23-000017,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm
NVDA,NVIDIA Corp.,0001045810,10-Q,2022-11-18,2022-10-30,0001045810-22-000166,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000166/nvda-20221030.htm
NVDA,NVIDIA Corp.,0001045810,10-Q,2022-08-31,2022-07-31,0001045810-22-000147,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000147/nvda-20220731.htm
NVDA,NVIDIA Corp.,0001045810,10-Q,2022-05-27,2022-05-01,0001045810-22-000079,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000079/nvda-20220501.htm
NVDA,NVIDIA Corp.,0001045810,10-K,2022-03-18,2022-01-30,0001045810-22-000036,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm
NVDA,NVIDIA Corp.,0001045810,10-Q,2021-11-22,2021-10-31,0001045810-21-000163,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000163/nvda-20211031.htm
NVDA,NVIDIA Corp.,0001045810,10-Q,2021-08-20,2021-08-01,0001045810-21-000131,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000131/nvda-20210801.htm
NVDA,NVIDIA Corp.,0001045810,10-Q,2021-05-26,2021-05-02,0001045810-21-000064,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000064/nvda-20210502.htm
NVDA,NVIDIA Corp.,0001045810,10-K,2021-02-26,2021-01-31,0001045810-21-000010,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm
NVDA,NVIDIA Corp.,0001045810,10-Q,2020-11-18,2020-10-25,0001045810-20-000189,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000189/nvda-20201025.htm
NVDA,NVIDIA Corp.,0001045810,10-Q,2020-08-19,2020-07-26,0001045810-20-000147,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000147/nvda-20200726.htm
NVDA,NVIDIA Corp.,0001045810,10-Q,2020-05-21,2020-04-26,0001045810-20-000065,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000065/nvda-20200426.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-K,2024-01-31,2023-12-30,0000002488-24-000012,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/amd-20231230.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2023-11-01,2023-09-30,0000002488-23-000195,https://www.sec.gov/Archives/edgar/data/2488/000000248823000195/amd-20230930.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2023-08-02,2023-07-01,0000002488-23-000139,https://www.sec.gov/Archives/edgar/data/2488/000000248823000139/amd-20230701.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2023-05-03,2023-04-01,0000002488-23-000076,https://www.sec.gov/Archives/edgar/data/2488/000000248823000076/amd-20230401.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-K,2023-02-27,2022-12-31,0000002488-23-000047,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2022-11-02,2022-09-24,0000002488-22-000170,https://www.sec.gov/Archives/edgar/data/2488/000000248822000170/amd-20220924.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2022-08-03,2022-06-25,0000002488-22-000123,https://www.sec.gov/Archives/edgar/data/2488/000000248822000123/amd-20220625.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2022-05-04,2022-03-26,0000002488-22-000078,https://www.sec.gov/Archives/edgar/data/2488/000000248822000078/amd-20220326.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-K,2022-02-03,2021-12-25,0000002488-22-000016,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2021-10-27,2021-09-25,0000002488-21-000178,https://www.sec.gov/Archives/edgar/data/2488/000000248821000178/amd-20210925.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2021-07-28,2021-06-26,0000002488-21-000116,https://www.sec.gov/Archives/edgar/data/2488/000000248821000116/amd-20210626.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2021-04-28,2021-03-27,0000002488-21-000056,https://www.sec.gov/Archives/edgar/data/2488/000000248821000056/amd-20210327.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-K,2021-01-29,2020-12-26,0001628280-21-001185,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/amd-20201226.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2020-10-28,2020-09-26,0000002488-20-000164,https://www.sec.gov/Archives/edgar/data/2488/000000248820000164/amd-20200926.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2020-07-29,2020-06-27,0000002488-20-000103,https://www.sec.gov/Archives/edgar/data/2488/000000248820000103/amd-20200627.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2020-04-29,2020-03-28,0000002488-20-000051,https://www.sec.gov/Archives/edgar/data/2488/000000248820000051/amdq1fy2010q.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-K,2020-02-04,2019-12-28,0000002488-20-000008,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/amdform10-kfy2019.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2019-10-30,2019-09-28,0000002488-19-000159,https://www.sec.gov/Archives/edgar/data/2488/000000248819000159/amd0928201910q.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2019-07-31,2019-06-29,0000002488-19-000104,https://www.sec.gov/Archives/edgar/data/2488/000000248819000104/amd0629201910q.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2019-05-01,2019-03-30,0000002488-19-000045,https://www.sec.gov/Archives/edgar/data/2488/000000248819000045/amd0330201910q.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-K,2019-02-08,2018-12-29,0000002488-19-000011,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/amd-12292018x10k.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2018-10-31,2018-09-29,0000002488-18-000189,https://www.sec.gov/Archives/edgar/data/2488/000000248818000189/amd0929201810q.htm
AMD,Advanced Micro Devices Inc.,0000002488,10-Q,2018-08-02,2018-06-30,0000002488-18-000128,https://www.sec.gov/Archives/edgar/data/2488/000000248818000128/amd0630201810q.htm
